Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,96,7,Some Random Commen with Id 0
1,0,3,113,2,Some Random Commen with Id 1
2,0,3,102,9,Some Random Commen with Id 2
3,0,3,170,6,Some Random Commen with Id 3
4,0,3,42,2,Some Random Commen with Id 4
5,0,3,171,7,Some Random Commen with Id 5
6,0,3,171,3,Some Random Commen with Id 6
7,1,7,122,7,Some Random Commen with Id 7
8,2,4,169,2,Some Random Commen with Id 8
9,2,4,171,0,Some Random Commen with Id 9
10,2,4,137,8,Some Random Commen with Id 10
11,2,4,68,5,Some Random Commen with Id 11
12,2,4,74,7,Some Random Commen with Id 12
13,2,4,179,5,Some Random Commen with Id 13
14,4,9,1,4,Some Random Commen with Id 14
15,4,9,133,6,Some Random Commen with Id 15
16,4,9,164,8,Some Random Commen with Id 16
17,4,9,34,6,Some Random Commen with Id 17
18,4,9,61,8,Some Random Commen with Id 18
19,5,9,164,1,Some Random Commen with Id 19
20,5,9,177,2,Some Random Commen with Id 20
21,5,9,63,8,Some Random Commen with Id 21
22,6,7,124,4,Some Random Commen with Id 22
23,6,7,1,9,Some Random Commen with Id 23
24,6,7,103,9,Some Random Commen with Id 24
25,6,7,199,4,Some Random Commen with Id 25
26,6,7,151,5,Some Random Commen with Id 26
27,6,7,28,8,Some Random Commen with Id 27
28,6,7,42,5,Some Random Commen with Id 28
29,6,7,147,5,Some Random Commen with Id 29
30,7,3,118,7,Some Random Commen with Id 30
31,7,3,55,6,Some Random Commen with Id 31
32,7,3,172,3,Some Random Commen with Id 32
33,7,3,187,0,Some Random Commen with Id 33
34,7,3,107,1,Some Random Commen with Id 34
35,7,3,60,2,Some Random Commen with Id 35
36,7,3,153,9,Some Random Commen with Id 36
37,7,3,196,8,Some Random Commen with Id 37
38,7,3,100,5,Some Random Commen with Id 38
39,8,1,178,4,Some Random Commen with Id 39
40,8,1,32,9,Some Random Commen with Id 40
41,8,1,186,3,Some Random Commen with Id 41
42,8,1,85,7,Some Random Commen with Id 42
43,8,1,1,5,Some Random Commen with Id 43
44,9,3,73,1,Some Random Commen with Id 44
45,9,3,11,3,Some Random Commen with Id 45
46,9,3,12,9,Some Random Commen with Id 46
47,9,3,137,2,Some Random Commen with Id 47
48,9,3,174,8,Some Random Commen with Id 48
49,9,3,190,0,Some Random Commen with Id 49
50,9,3,144,4,Some Random Commen with Id 50
51,9,3,93,4,Some Random Commen with Id 51
52,10,5,153,0,Some Random Commen with Id 52
53,10,5,55,5,Some Random Commen with Id 53
54,10,5,36,9,Some Random Commen with Id 54
55,10,5,195,3,Some Random Commen with Id 55
56,10,5,143,9,Some Random Commen with Id 56
57,10,5,171,7,Some Random Commen with Id 57
58,10,5,124,8,Some Random Commen with Id 58
59,11,5,47,6,Some Random Commen with Id 59
60,12,6,27,9,Some Random Commen with Id 60
61,12,6,174,0,Some Random Commen with Id 61
62,12,6,144,0,Some Random Commen with Id 62
63,13,9,58,7,Some Random Commen with Id 63
64,13,9,116,3,Some Random Commen with Id 64
65,13,9,134,7,Some Random Commen with Id 65
66,13,9,107,5,Some Random Commen with Id 66
67,13,9,149,8,Some Random Commen with Id 67
68,14,0,115,5,Some Random Commen with Id 68
69,14,0,4,9,Some Random Commen with Id 69
70,14,0,129,3,Some Random Commen with Id 70
71,14,0,120,0,Some Random Commen with Id 71
72,14,0,86,5,Some Random Commen with Id 72
73,14,0,125,8,Some Random Commen with Id 73
74,14,0,196,1,Some Random Commen with Id 74
75,14,0,128,9,Some Random Commen with Id 75
76,14,0,167,6,Some Random Commen with Id 76
77,15,6,105,3,Some Random Commen with Id 77
78,15,6,185,6,Some Random Commen with Id 78
79,15,6,128,6,Some Random Commen with Id 79
80,15,6,121,7,Some Random Commen with Id 80
81,15,6,40,1,Some Random Commen with Id 81
82,15,6,39,0,Some Random Commen with Id 82
83,15,6,157,8,Some Random Commen with Id 83
84,15,6,145,5,Some Random Commen with Id 84
85,16,9,180,0,Some Random Commen with Id 85
86,16,9,108,3,Some Random Commen with Id 86
87,16,9,142,6,Some Random Commen with Id 87
88,16,9,170,3,Some Random Commen with Id 88
89,16,9,198,2,Some Random Commen with Id 89
90,16,9,134,5,Some Random Commen with Id 90
91,16,9,159,3,Some Random Commen with Id 91
